Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Cmtm7,ENSMUSG00000032436,Sex,male,1,-0.1562,0.1459,-0.4421,0.1297,1.15,2.8e-1,0.7186477975,-0.22535123,0.2104370133,0.1434839011,0.8553867527
Pla2g4a,ENSMUSG00000056220,Sex,male,1,0.5261,0.4913,-0.4368,1.4890,1.15,2.8e-1,0.7186477975,0.7589793379,0.7087932227,0.1434839011,1.6922929562
Gm3222,ENSMUSG00000079311,Sex,male,1,-0.5739,0.5360,-1.6244,0.4765,1.15,2.8e-1,0.7186477975,-0.828012923,0.7732137774,0.1434839011,0.5633045682
Tmem181b-ps,ENSMUSG00000096780,Sex,male,1,0.7035,0.6571,-0.5844,1.9915,1.15,2.8e-1,0.7187752206,1.0149781846,0.9480526163,0.1434069034,2.0208723346
Gm48786,ENSMUSG00000112226,Sex,male,1,0.5067,0.4734,-0.4211,1.4345,1.15,2.8e-1,0.7188059675,0.7310389031,0.6829169148,0.1433883261,1.6598339289
Trip13,ENSMUSG00000021569,Sex,male,1,0.9921,0.9271,-0.8250,2.8093,1.15,2.8e-1,0.7190980256,1.431343575,1.3375689319,0.1432119037,2.696977667
Uqcc1,ENSMUSG00000005882,Sex,male,1,-0.4066,0.3802,-1.1517,0.3385,1.14,2.8e-1,0.7195209202,-0.586540553,0.5484551049,0.1429565744,0.6659378503
Gpr137b,ENSMUSG00000021306,Sex,male,1,-0.3850,0.3600,-1.0905,0.3206,1.14,2.8e-1,0.7195209202,-0.555391074,0.519346076,0.1429565744,0.6804725761
Grk6,ENSMUSG00000074886,Sex,male,1,-0.1110,0.1038,-0.3144,0.0924,1.14,2.8e-1,0.7195209202,-0.160115635,0.1497337767,0.1429565744,0.8949533358
Ube2d3,ENSMUSG00000078578,Sex,male,1,0.2475,0.2314,-0.2061,0.7010,1.14,2.8e-1,0.7195209202,0.3570513989,0.3338580054,0.1429565744,1.2808054918
